neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78704,apartments,66,68,21,0.27,1,314,3.5733829047726853,0.9705882352941176,1,0,1,0,-0.02985296314968116
78703,apartments,150,30,18,0.24,1,163,1.9678238084891513,5,0,0,1,0,1.6094379124341003
78723,apartments,193,2,25,0.33,1,205,5.9614193808584535,96.5,1,0,1,0,4.56954300834494
78756,apartments,98,2,289,3.84,1,169,6.650342658108071,49,0,1,1,1,3.8918202981106265
78704,apartments,250,3,2,0.03,1,0,3.2326218346027735,83.33333333333333,0,0,1,0,4.422848629194137
78704,apartments,150,2,25,0.33,1,0,2.7996121500112667,75,0,0,1,0,4.31748811353631
78703,apartments,129,2,81,1.08,1,352,1.9964440529737935,64.5,1,0,1,0,4.1666652238017265
78702,apartments,56,1,246,3.25,3,13,2.4313335284574182,56,0,1,1,0,4.02535169073515
78737,apartments,149,2,229,3.02,1,328,23.00397237590665,74.5,1,1,0,0,4.310799125385514
78702,apartments,63,1,444,6.63,3,16,2.4324334153609466,63,0,1,1,0,4.143134726391533
78703,apartments,64,30,23,0.31,1,196,0.9538748517887999,2.1333333333333333,0,0,1,0,0.7576857016975165
78741,apartments,289,3,6,0.08,1,0,3.352337863456095,96.33333333333333,0,0,1,1,4.567814399444322
78754,apartments,99,30,8,0.1,4,0,11.695338230898976,3.3,0,0,1,1,1.1939224684724346
78704,apartments,57,90,3,0.04,2,245,3.355719309106735,0.6333333333333333,1,0,1,0,-0.456758402495715
78702,apartments,120,7,118,1.58,1,2,4.795924842016669,17.142857142857142,0,1,1,0,2.841581593726733
78703,apartments,88,30,215,2.8,2,177,2.5407983748990493,2.933333333333333,0,1,1,0,1.076139432816051
78741,apartments,100,2,37,0.49,1,109,5.4776061303432515,50,0,0,1,1,3.912023005428146
78722,apartments,126,30,80,1.07,1,18,4.063427540843123,4.2,0,0,1,0,1.4350845252893227
78704,apartments,121,2,57,0.75,26,359,4.145461411824339,60.5,1,0,1,0,4.102643365036796
78704,apartments,150,2,40,0.52,1,238,2.8564844575685924,75,1,0,1,0,4.31748811353631
